Abkhaz	аҧсуа	ab
Latvian	latviešu valoda	lv
Limburgish, Limburgan, Limburger	Limburgs	li
Lingala	Lingála	ln
Lithuanian	lietuvių kalba	lt
Luba-Katanga	Kiluba	lu
Luganda	Luganda	lg
Luxembourgish, Letzeburgesch	Lëtzebuergesch	lb
Macedonian	македонски јазик	mk
Malagasy	Malagasy fiteny	mg
Malay	bahasa Melayu, بهاس ملايو	ms
Malayalam	മലയാളം	ml
Maltese	Malti	mt
Manx	Gaelg, Gailck	gv
Māori	te reo Māori	mi
Marathi (Marāṭhī)	मराठी	mr
Marshallese	Kajin M̧ajeļ	mh
Mongolian	монгол	mn
Nauru	Ekakairũ Naoero	na
Navajo, Navaho	Diné bizaad, Dinékʼehǰí	nv
Ndonga	Owambo	ng
Nepali	नेपाली	ne
North Ndebele	isiNdebele	nd
Northern Sami	Davvisámegiella	se
Norwegian	Norsk	no
Norwegian Bokmål	Norsk bokmål	nb
Norwegian Nynorsk	Norsk nynorsk	nn
Nuosu	ꆈꌠ꒿ Nuosuhxop	ii
Occitan	Occitan	oc
Ojibwe, Ojibwa	ᐊᓂᔑᓈᐯᒧᐎᓐ	oj
Old Church Slavonic, Church Slavic, Church Slavonic, Old Bulgarian, Old Slavonic	ѩзыкъ словѣньскъ	cu
Oriya	ଓଡ଼ିଆ	or
Oromo	Afaan Oromoo	om
Ossetian, Ossetic	ирон æвзаг	os
Pāli	पाऴि	pi
Panjabi, Punjabi	ਪੰਜਾਬੀ, پنجابی	pa
Pashto, Pushto	پښتو	ps
Persian	فارسی	fa
Polish	polski	pl
Portuguese	Português	pt
Quechua	Runa Simi, Kichwa	qu
Romanian, Moldavian, Moldovan	română	ro
Romansh	rumantsch grischun	rm
Russian	русский язык	ru
Samoan	gagana fa'a Samoa	sm
Sango	yângâ tî sängö	sg
Sanskrit (Saṁskṛta)	संस्कृतम्	sa
Sardinian	sardu	sc
Scottish Gaelic; Gaelic	Gàidhlig	gd
Serbian	српски језик	sr
Shona	chiShona	sn
Sindhi	सिन्धी, سنڌي، سندھی	sd
Sinhala	සිංහල	si
Slovak	slovenčina	sk
Slovene	slovenščina	sl
Somali	Soomaaliga, af Soomaali	so
South Ndebele	isiNdebele	nr
Southern Sotho	Sesotho	st
Spanish	español, castellano	es
Sundanese	Basa Sunda	su
Swahili	Kiswahili	sw
Swati	SiSwati	ss
Swedish	svenska	sv
Tagalog	Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔	tl
Tahitian	Reo Tahiti	ty
Tajik	тоҷикӣ, toğikī, تاجیکی	tg
Tamil	தமிழ்	ta
Tatar	татарча, tatarça, تاتارچا	tt
Telugu	తెలుగు	te
Thai	ไทย	th
Tibetan Standard, Central Tibetan	བོད་ཡིག	bo
Tigrinya	ትግርኛ	ti
Tongan	faka Tonga	to
Tsonga	Xitsonga	ts
Tswana	Setswana	tn
Turkish	Türkçe	tr
Turkmen	Türkmen, Түркмен	tk
Twi	Twi	tw
Uighur	Uyƣurqə, ئۇيغۇرچە	ug
Ukrainian	українська	uk
Urdu	اردو	ur
Uzbek	O'zbek, Ўзбек, أۇزبېك	uz
Venda	Tshivenḓa	ve
Vietnamese	Tiếng Việt	vi
Volapük	Volapük	vo
Walloon	Walon	wa
Welsh	Cymraeg	cy
Western Frisian	Frysk	fy
Wolof	Wollof	wo
Xhosa	isiXhosa	xh
Yiddish	ייִדיש	yi
Yoruba	Yorùbá	yo
Zhuang, Chuang	Saɯ cueŋƅ, Saw cuengh	za
Zulu	isiZulu	zu
